newuser_login_use_email_to_get_password,Retrieve your password by email,Recupere su contraseña por correo electrónico,अपना पासवर्ड ईमेल द्वारा पुनः प्राप्त करें,Eメールアドレスでパスワードを取得,이메일로 비밀번호 찾기,Recuperar sua senha por e-mail,Восстановить пароль по электронной почте,เรียกคืนรหัสผ่านของคุณทางอีเมล,Truy xuất mật khẩu của bạn qua email,使用邮箱找回密码,使用郵箱找回密碼
product_restore,Restore,Restaurar,बहाल करें,復元,복구,Restaurar,Восстанов.,ฟื้นฟู,Khôi phục,恢复,恢復
newuser_code_input_retry_send,Resend,Reenviar,फिर से भेजें,再送信,재전송,Enviar novamente,Отправить повторно,ส่งใหม่อีกครั้ง,Gửi lại,重新发送,重新發送
reloading,Reload,Recargar,पुनः लोड करें,リロード,재로딩,Recarregar,Перезагрузить,โหลดใหม่,Nạp lại,重新加载,重新加載
newuser_login_sign_up_for_agree,Registering means you agree,El registrarse significa que usted está de acuerdo,पंजीकरण का मतलब है कि आप सहमत हैं,登録により「本利用規約」に,등록은 동의를 의미합니다,Meios de registro que você concorda,Зарегистрировано согласен,การลงทะเบียนหมายถึงคุณยอมรับ,ĐK nghĩa là đồng ý,注册即代表同意,註冊即代表同意
newuser_guide_account_register,Register,Registrarse,पंजीकरण करें,登録,지금 등록,Registrar,Регистрация,ลงทะเบียน,Đăng ký,立即注册,立即註冊
newuser_register,Register,Registrarse,पंजीकरण करें,登録,등록,Registrar,Регистрация,ลงทะเบียน,Đăng ký,注册,註冊
pull_down_refresh_error,"Refresh failed, check network settings.","Falló la actualización, verifique los ajustes de red.","ताज़ा करना विफल, नेटवर्क सेटिंग्स की जाँच करें।",更新失敗。ネットワーク設定を確認してください。,새로고침 실패. 네트워크 설정을 확인하십시오.,"Atualização falhou, verifique as configurações de rede.","Сбой обновления, проверьте настройки сети.",การรีเฟรชล้มเหลว ตรวจสอบการตั้งค่าเครือข่าย,"Làm mới thất bại, kiểm tra cài đặt mạng.",刷新失败，请检查网络设置。,刷新失敗，請檢查網絡設置。
gallery_cloudBackupTime,Recent backup: %@,Copia de respaldo reciente: %@,हाल का बैकअप: %@,最終：%@,최근 백업일자: %@,Backup recente: %@,Последнее резервное копирование: %@,Backup: %@,Sao lưu gần đây: %@,最近备份时间: %@,最近備份時間: %@
gallery_appraise_appraiseNow,Rate us,Califíquenos,हमारा मूल्यांकन करें,5つ星評価,평가,Classifique-nos,Оцените нас,คำนิยมที่ดีที่สุด,Xếp loại chúng tôi,赏你好评,賞你好評
setting_rateus,Rate & Review,Calificar y revisar,मूल्यांकन व समीक्षा करें,評価・レビュー,평가 & 리뷰,Classificar e Revisar,Оценить и оставить отзыв,การประเมินผลการทำงานของเรา,Xếp loại & Đánh giá,鼓励一下我们,鼓勵一下我們
share_siteview_qzone,Qzone,Qzone,Qzone,Qzone,QQ 존,Qzone,Qzone,Qzone,Qzone,QQ空间,QQ空間
password_question_title,Question：,Pregunta:,प्रश्न:,質問:,문제:,Pergunta:,Вопрос：,คำถาม：,Câu hỏi:,问题：,問題：
puzzle_template_puzzle,Puzzle,Puzle,पज़ल,フリー,퍼즐,Charada,шаблон,แม่แบบ,Câu đố,模板,模板
common_pull_down_tips,Pull down to refresh,Arrastre hacia abajo para actualizar,ताज़ा करने के लिए नीचे खींचें,下フリックでリフレッシュ,아래로 밀면 새로 고침,Empurre para baixo para atualizar,Потяните вниз для обновления,เลื่อนลงเพื่อรีเฟรช,Kéo xuống để làm mới,下拉可以刷新,下拉可以刷新
newuser_account_head_avatar,Profile pic,Foto de perfil,प्रोफ़ाइल चित्र,アバター,프로필 사진,Foto do perfil,Фото профиля,ภาพโปรไฟล์,Ảnh hồ sơ,头像,頭像
cloud_share_loadPreImage_failed,Preview loading failed,Falló la carga de la vista previa,पूर्वावलोकन लोड करना विफल,プレビューロード失敗！,미리보기 로딩 실패,Visualização de carregamento falhou,Загрузка предварительного просмотра не выполнена,การโหลดตัวอย่างล้มเหลว,Tải xem trước thất bại,加载预览图失败!,加載預覽圖失敗！
setting_touch_id_reason,Please verify your fingerprint,Verifique su huella dactilar,कृपया अपने फ़िंगरप्रिंट की पुष्टि करें,指紋認証を行ってください。,지문으로 인증하십시오,Verifique a sua impressão digital,Выполните проверку отпечатков пальцев,Please verify your fingerprint,Vui lòng xác minh dấu vân tay của bạn,请验证你的指纹,請驗證你的指紋
cloud_album_no_selected_photos,Please select photos.,Seleccione las fotografías.,कृपया फ़ोटो चुनें।,写真を選択してください。,사진을 선택하십시오.,Selecione fotos.,Выберите фото.,กรุณาเลือกภาพ,Vui lòng chọn ảnh.,请选择图片,請選擇圖片
setting_touch_id_footer,Please make sure Touch ID is on.,Asegúrese de que ID táctil esté encendido.,कृपया सुनिश्चित करें कि टच आईडी चालू है।,Touch IDがオンになっていることを確認してください。,터치 ID가 설정되어 있는지 확인하십시오.,Certifique-se de que o ID de toque está ativo.,"Убедитесь, что Touch ID включен.",กรุณาตรวจสอบฟังก์ชั่นTouch Idว่าได้เปิดใช้ก่อนเริ่มใช้งานแล้ว,Vui lòng đảm bảo Touch ID đã bật.,请确定系统Touch ID功能已开启，方可使用。,"請確定系統Touch ID功能已開啟,方可使用."
setting_touch_id_off_alert,Please go to Settings to turn on Touch ID.,Vaya a Ajustes para encender ID táctil.,टच आईडी चालू करने के लिए कृपया सेटिंग्स में जाएँ।,設定からTouch IDをオンにしてください。,터치 ID 설정으로 이동하십시오.,Vá para Configurações para ativar o ID de toque.,"Перейдите в настройки, чтобы включить Touch ID.",กรุณาเปิดใช้ฟังก์ชั่นTouch Idที่โหมดตั้งค่าระบบ,Vui lòng đi tới Cài đặt để bật Touch ID.,请到系统设置中开启Touch ID功能,請到系統設置中開啟Touch ID功能
